"","Year","Sender","Receiver","Weight"
"68556",1991,"ESP","CHL",4490000
"68557",1992,"ESP","CHL",18290000
"68558",1993,"ESP","CHL",14220000
"68559",1994,"ESP","CHL",9060000
"68560",1995,"ESP","CHL",14110000
"68561",1996,"ESP","CHL",9480000
"68562",1997,"ESP","CHL",4630000
"68563",1998,"ESP","CHL",4370000
"68564",1999,"ESP","CHL",2640000
"68565",2000,"ESP","CHL",1470000
"68566",2001,"ESP","CHL",1980000
"68567",2002,"ESP","CHL",2820000
"68568",2003,"ESP","CHL",2110000
"68569",2004,"ESP","CHL",3380000
"68570",2005,"ESP","CHL",4130000
"68571",2006,"ESP","CHL",4310000
"68572",2007,"ESP","CHL",6700000
"68573",2008,"ESP","CHL",7140000
"68574",2009,"ESP","CHL",9560000
"68575",2010,"ESP","CHL",11260000
"68576",2011,"ESP","CHL",8220000
"68577",2012,"ESP","CHL",830000
"68578",2013,"ESP","CHL",890000
"68579",2014,"ESP","CHL",1198421.22547963
"68580",2015,"ESP","CHL",871579.547163616
"68581",2016,"ESP","CHL",772495.568948358
"68582",2017,"ESP","CHL",52130614.465483
"68583",1988,"ESP","COL",1300000
"68584",1989,"ESP","COL",730000
"68585",1990,"ESP","COL",9130000
"68586",1991,"ESP","COL",2430000
"68587",1992,"ESP","COL",13080000
"68588",1993,"ESP","COL",5930000
"68589",1994,"ESP","COL",7870000
"68590",1995,"ESP","COL",31440000
"68591",1996,"ESP","COL",30040000
"68592",1997,"ESP","COL",44080000
"68593",1998,"ESP","COL",16110000
"68594",1999,"ESP","COL",20080000
"68595",2000,"ESP","COL",15440000
"68596",2001,"ESP","COL",28290000
"68597",2002,"ESP","COL",36390000
"68598",2003,"ESP","COL",19040000
"68599",2004,"ESP","COL",24290000
"68600",2005,"ESP","COL",46650000
"68601",2006,"ESP","COL",72960000
"68602",2007,"ESP","COL",69410000
"68603",2008,"ESP","COL",92770000
"68604",2009,"ESP","COL",156600000
"68605",2010,"ESP","COL",64260000
"68606",2011,"ESP","COL",57240000
"68607",2012,"ESP","COL",26040000
"68608",2013,"ESP","COL",39720000
"68609",2014,"ESP","COL",27208276.8142815
"68610",2015,"ESP","COL",14752335.6245058
"68611",2016,"ESP","COL",19680110.4721884
"68612",2017,"ESP","COL",39928984.4849555
"68613",2018,"ESP","COL",70931530.1176089
"68614",2019,"ESP","COL",58835628.1393776
"68615",1987,"ESP","ECU",24200000
"68616",1988,"ESP","ECU",35500000
"68617",1989,"ESP","ECU",1740000
"68618",1990,"ESP","ECU",7430000
"68619",1991,"ESP","ECU",18290000
"68620",1992,"ESP","ECU",16060000
"68621",1993,"ESP","ECU",43340000
"68622",1994,"ESP","ECU",51040000
"68623",1995,"ESP","ECU",34180000
"68624",1996,"ESP","ECU",61210000
"68625",1997,"ESP","ECU",20650000
"68626",1998,"ESP","ECU",24110000
"68627",1999,"ESP","ECU",16170000
"68628",2000,"ESP","ECU",30860000
"68629",2001,"ESP","ECU",25240000
"68630",2002,"ESP","ECU",48620000
"68631",2003,"ESP","ECU",33110000
"68632",2004,"ESP","ECU",44020000
"68633",2005,"ESP","ECU",94450000
"68634",2006,"ESP","ECU",41310000
"68635",2007,"ESP","ECU",74500000
"68636",2008,"ESP","ECU",93510000
"68637",2009,"ESP","ECU",65480000
"68638",2010,"ESP","ECU",75990000
"68639",2011,"ESP","ECU",42730000
"68640",2012,"ESP","ECU",24330000
"68641",2013,"ESP","ECU",25190000
"68642",2014,"ESP","ECU",10671200.4436394
"68643",2015,"ESP","ECU",7471145.60182917
"68644",2016,"ESP","ECU",11507584.1623355
"68645",2017,"ESP","ECU",11797706.4437583
"68646",2018,"ESP","ECU",14179307.8209312
"68647",2019,"ESP","ECU",15814131.1266853
"68648",2007,"ESP","GUY",1970000
"68649",2008,"ESP","GUY",80000
"68650",2009,"ESP","GUY",630000
"68651",2010,"ESP","GUY",10000
"68652",2011,"ESP","GUY",40000
"68653",2013,"ESP","GUY",10000
"68654",1989,"ESP","PRY",490000
"68655",1990,"ESP","PRY",960000
"68656",1991,"ESP","PRY",1320000
"68657",1992,"ESP","PRY",2640000
"68658",1993,"ESP","PRY",1e+06
"68659",1994,"ESP","PRY",1130000
"68660",1995,"ESP","PRY",8710000
"68661",1996,"ESP","PRY",5820000
"68662",1997,"ESP","PRY",11320000
"68663",1998,"ESP","PRY",16790000
"68664",1999,"ESP","PRY",12770000
"68665",2000,"ESP","PRY",5300000
"68666",2001,"ESP","PRY",8420000
"68667",2002,"ESP","PRY",4090000
"68668",2003,"ESP","PRY",11740000
"68669",2004,"ESP","PRY",6970000
"68670",2005,"ESP","PRY",7050000
"68671",2006,"ESP","PRY",9810000
"68672",2007,"ESP","PRY",13300000
"68673",2008,"ESP","PRY",24260000
"68674",2009,"ESP","PRY",40690000
"68675",2010,"ESP","PRY",23430000
"68676",2011,"ESP","PRY",18060000
"68677",2012,"ESP","PRY",7470000
"68678",2013,"ESP","PRY",7360000
"68679",2014,"ESP","PRY",5616383.50299722
"68680",2015,"ESP","PRY",3654027.72981364
"68681",2016,"ESP","PRY",4530535.10671238
"68682",2017,"ESP","PRY",11182482.7808703
"68683",2018,"ESP","PRY",11673663.4150596
"68684",2019,"ESP","PRY",10558389.3829833
"68685",1987,"ESP","PER",2200000
"68686",1988,"ESP","PER",3900000
"68687",1989,"ESP","PER",4850000
"68688",1990,"ESP","PER",6270000
"68689",1991,"ESP","PER",23280000
"68690",1992,"ESP","PER",6940000
"68691",1993,"ESP","PER",8880000
"68692",1994,"ESP","PER",7260000
"68693",1995,"ESP","PER",16220000
"68694",1996,"ESP","PER",33530000
"68695",1997,"ESP","PER",24810000
"68696",1998,"ESP","PER",28400000
"68697",1999,"ESP","PER",37880000
"68698",2000,"ESP","PER",21730000
"68699",2001,"ESP","PER",32210000
"68700",2002,"ESP","PER",38970000
"68701",2003,"ESP","PER",44700000
"68702",2004,"ESP","PER",58740000
"68703",2005,"ESP","PER",71710000
"68704",2006,"ESP","PER",93590000
"68705",2007,"ESP","PER",120210000
"68706",2008,"ESP","PER",134350000
"68707",2009,"ESP","PER",106300000
"68708",2010,"ESP","PER",121610000
"68709",2011,"ESP","PER",65420000
"68710",2012,"ESP","PER",35260000
"68711",2013,"ESP","PER",57930000
"68712",2014,"ESP","PER",23557355.5547698
"68713",2015,"ESP","PER",18204015.7391769
"68714",2016,"ESP","PER",21361301.579122
"68715",2017,"ESP","PER",23531717.5423425
"68716",2018,"ESP","PER",24198151.8446701
"68717",2019,"ESP","PER",24994799.7141688
"68718",2004,"ESP","SUR",20000
"68719",2009,"ESP","SUR",140000
"68720",2019,"ESP","SUR",9442.91982536662
"68721",1989,"ESP","URY",480000
"68722",1990,"ESP","URY",6830000
"68723",1991,"ESP","URY",650000
"68724",1992,"ESP","URY",14740000
"68725",1993,"ESP","URY",31160000
"68726",1994,"ESP","URY",32430000
"68727",1995,"ESP","URY",20380000
"68728",1996,"ESP","URY",4060000
"68729",1997,"ESP","URY",2130000
"68730",1998,"ESP","URY",2600000
"68731",1999,"ESP","URY",3140000
"68732",2000,"ESP","URY",2960000
"68733",2001,"ESP","URY",1930000
"68734",2002,"ESP","URY",1990000
"68735",2003,"ESP","URY",10860000
"68736",2004,"ESP","URY",2710000
"68737",2005,"ESP","URY",13280000
"68738",2006,"ESP","URY",4050000
"68739",2007,"ESP","URY",14850000
"68740",2008,"ESP","URY",13720000
"68741",2009,"ESP","URY",16630000
"68742",2010,"ESP","URY",12750000
"68743",2011,"ESP","URY",9810000
"68744",2012,"ESP","URY",1510000
"68745",2013,"ESP","URY",2740000
"68746",2014,"ESP","URY",907164.072060501
"68747",2015,"ESP","URY",524316.9273533
"68748",2016,"ESP","URY",877040.163662501
"68749",2017,"ESP","URY",1117208.54510653
"68750",1988,"ESP","VEN",5200000
"68751",1989,"ESP","VEN",39420000
"68752",1990,"ESP","VEN",8760000
"68753",1991,"ESP","VEN",8040000
"68754",1992,"ESP","VEN",1950000
"68755",1993,"ESP","VEN",2650000
"68756",1994,"ESP","VEN",1330000
"68757",1995,"ESP","VEN",6440000
"68758",1996,"ESP","VEN",8120000
"68759",1997,"ESP","VEN",7420000
"68760",1998,"ESP","VEN",4480000
"68761",1999,"ESP","VEN",16520000
"68762",2000,"ESP","VEN",29130000
"68763",2001,"ESP","VEN",12330000
"68764",2002,"ESP","VEN",17620000
"68765",2003,"ESP","VEN",36240000
"68766",2004,"ESP","VEN",3470000
"68767",2005,"ESP","VEN",6530000
"68768",2006,"ESP","VEN",9900000
"68769",2007,"ESP","VEN",15880000
"68770",2008,"ESP","VEN",15480000
"68771",2009,"ESP","VEN",12890000
"68772",2010,"ESP","VEN",9890000
"68773",2011,"ESP","VEN",3780000
"68774",2012,"ESP","VEN",1510000
"68775",2013,"ESP","VEN",1180000
"68776",2014,"ESP","VEN",643301.940134006
"68777",2015,"ESP","VEN",112414.436494731
"68778",2016,"ESP","VEN",9699581.2009289
"68779",2017,"ESP","VEN",44708931.140903
"68780",2018,"ESP","VEN",63684410.4729163
"68781",2019,"ESP","VEN",69099191.6555838
"68782",1992,"ESP","AFG",20000
"68783",1995,"ESP","AFG",120000
"68784",1997,"ESP","AFG",90000
"68785",1999,"ESP","AFG",120000
"68786",2001,"ESP","AFG",5920000
"68787",2002,"ESP","AFG",17810000
"68788",2003,"ESP","AFG",5150000
"68789",2004,"ESP","AFG",16560000
"68790",2005,"ESP","AFG",1.9e+07
"68791",2006,"ESP","AFG",18110000
"68792",2007,"ESP","AFG",43500000
"68793",2008,"ESP","AFG",71790000
"68794",2009,"ESP","AFG",98970000
"68795",2010,"ESP","AFG",60830000
"68796",2011,"ESP","AFG",57620000
"68797",2012,"ESP","AFG",31190000
"68798",2013,"ESP","AFG",19230000
"68799",2014,"ESP","AFG",5536782.53947194
"68800",2015,"ESP","AFG",25513.0338325014
"68801",2016,"ESP","AFG",497208.194183346
"68802",2017,"ESP","AFG",1560355.72964716
"68803",2018,"ESP","AFG",1163263.40050277
"68804",2019,"ESP","AFG",791168.746792791
"68805",1996,"ESP","ARM",10000
"68806",1997,"ESP","ARM",10000
"68807",1998,"ESP","ARM",10000
"68808",1999,"ESP","ARM",60000
"68809",2000,"ESP","ARM",40000
"68810",2001,"ESP","ARM",110000
"68811",2002,"ESP","ARM",450000
"68812",2003,"ESP","ARM",80000
"68813",2004,"ESP","ARM",1420000
"68814",2005,"ESP","ARM",390000
"68815",2006,"ESP","ARM",290000
"68816",2007,"ESP","ARM",50000
"68817",2008,"ESP","ARM",7e+05
"68818",2009,"ESP","ARM",350000
"68819",2010,"ESP","ARM",260000
"68820",2011,"ESP","ARM",130000
"68821",2012,"ESP","ARM",10000
"68822",2013,"ESP","ARM",70000
"68823",2014,"ESP","ARM",30422.8340188404
"68824",2015,"ESP","ARM",1528.563505269
"68825",2016,"ESP","ARM",516572.354307199
"68826",2017,"ESP","ARM",1037864.66127832
"68827",2018,"ESP","ARM",1727947.76535112
"68828",2019,"ESP","ARM",1280323.66944028
"68829",1995,"ESP","AZE",120000
"68830",1997,"ESP","AZE",10000
"68831",2002,"ESP","AZE",20000
"68832",2003,"ESP","AZE",50000
"68833",2004,"ESP","AZE",70000
"68834",2005,"ESP","AZE",70000
"68835",2006,"ESP","AZE",110000
"68836",2007,"ESP","AZE",10000
"68837",2008,"ESP","AZE",360000
"68838",2009,"ESP","AZE",650000
"68839",2010,"ESP","AZE",60000
"68840",2011,"ESP","AZE",50000
"68841",2013,"ESP","AZE",50000
"68842",2014,"ESP","AZE",644.81889345893
"68843",2016,"ESP","AZE",295350.436801946
"68844",2017,"ESP","AZE",224771.153005298
"68845",2018,"ESP","AZE",245059.219749793
"68846",2019,"ESP","AZE",369718.512445987
"68847",2009,"ESP","BTN",210000
"68848",2011,"ESP","BTN",10000
"68849",1996,"ESP","GEO",30000
"68850",1997,"ESP","GEO",130000
"68851",1998,"ESP","GEO",90000
"68852",1999,"ESP","GEO",330000
"68853",2000,"ESP","GEO",50000
"68854",2001,"ESP","GEO",50000
"68855",2002,"ESP","GEO",390000
"68856",2003,"ESP","GEO",80000
"68857",2004,"ESP","GEO",90000
"68858",2005,"ESP","GEO",1e+05
"68859",2006,"ESP","GEO",180000
"68860",2008,"ESP","GEO",2690000
"68861",2009,"ESP","GEO",850000
"68862",2010,"ESP","GEO",130000
"68863",2011,"ESP","GEO",110000
"68864",2013,"ESP","GEO",50000
"68865",2014,"ESP","GEO",29594.4672946796
"68866",2015,"ESP","GEO",12078.0188574598
"68867",2016,"ESP","GEO",590370.684507354
"68868",2017,"ESP","GEO",3779527.9910168
"68869",2018,"ESP","GEO",10943751.4643845
"68870",2019,"ESP","GEO",16867956.1915392
"68871",1996,"ESP","KAZ",10000
"68872",1999,"ESP","KAZ",120000
"68873",2000,"ESP","KAZ",1690000
"68874",2001,"ESP","KAZ",7380000
"68875",2002,"ESP","KAZ",17500000
"68876",2003,"ESP","KAZ",1.7e+07
"68877",2004,"ESP","KAZ",4480000
"68878",2005,"ESP","KAZ",1120000
"68879",2006,"ESP","KAZ",540000
"68880",2007,"ESP","KAZ",250000
"68881",2008,"ESP","KAZ",60000
"68882",2009,"ESP","KAZ",1490000
"68883",2010,"ESP","KAZ",110000
"68884",2011,"ESP","KAZ",130000
"68885",2013,"ESP","KAZ",20000
"68886",2014,"ESP","KAZ",12153.615496882
"68887",2015,"ESP","KAZ",12351.2590127565
"68888",2016,"ESP","KAZ",112992.082273582
"68889",2017,"ESP","KAZ",110813.189626874
"68890",2018,"ESP","KAZ",155005.394889649
"68891",2019,"ESP","KAZ",157897.817273033
"68892",1996,"ESP","KGZ",10000
"68893",1998,"ESP","KGZ",10000
"68894",1999,"ESP","KGZ",10000
"68895",2000,"ESP","KGZ",20000
"68896",2001,"ESP","KGZ",20000
"68897",2002,"ESP","KGZ",10000
"68898",2003,"ESP","KGZ",30000
"68899",2004,"ESP","KGZ",60000
"68900",2005,"ESP","KGZ",60000
"68901",2006,"ESP","KGZ",50000
"68902",2007,"ESP","KGZ",250000
"68903",2008,"ESP","KGZ",3310000
"68904",2009,"ESP","KGZ",1300000
"68905",2010,"ESP","KGZ",880000
"68906",2011,"ESP","KGZ",80000
"68907",2013,"ESP","KGZ",40000
"68908",2014,"ESP","KGZ",41395.7808146477
"68909",2016,"ESP","KGZ",22151.2882892845
"68910",2017,"ESP","KGZ",188759.249844437
"68911",2018,"ESP","KGZ",74723.0635748849
"68912",2019,"ESP","KGZ",132100.58786186
"68913",2008,"ESP","MMR",9190000
"68914",2009,"ESP","MMR",1050000
"68915",2010,"ESP","MMR",10000
"68916",2013,"ESP","MMR",10000
"68917",2015,"ESP","MMR",1774.52911813644
"68918",2016,"ESP","MMR",7294.81366803052
"68919",2017,"ESP","MMR",2325.55517979935
"68920",2018,"ESP","MMR",10810.2378378378
"68921",2019,"ESP","MMR",259.77834993843
"68922",1994,"ESP","TJK",210000
"68923",2005,"ESP","TJK",20000
"68924",2006,"ESP","TJK",50000
"68925",2007,"ESP","TJK",3040000
"68926",2008,"ESP","TJK",2490000
"68927",2009,"ESP","TJK",6310000
"68928",2010,"ESP","TJK",20000
"68929",2011,"ESP","TJK",70000
"68930",2013,"ESP","TJK",80000
"68931",2014,"ESP","TJK",18575.0298527266
"68932",2015,"ESP","TJK",9454.24292845258
"68933",2017,"ESP","TJK",11964.8292188028
"68934",2018,"ESP","TJK",36849.885129234
"68935",2019,"ESP","TJK",66672.7369528714
"68936",1994,"ESP","TKM",60000
"68937",2013,"ESP","TKM",10000
"68938",2014,"ESP","TKM",18575.0298527266
"68939",2017,"ESP","TKM",58559.5304509074
"68940",2018,"ESP","TKM",11443.6610208899
"68941",2019,"ESP","TKM",10043.7252244487
"68942",1993,"ESP","UZB",190000
"68943",1994,"ESP","UZB",1e+05
"68944",1998,"ESP","UZB",70000
"68945",1999,"ESP","UZB",240000
"68946",2000,"ESP","UZB",30000
"68947",2001,"ESP","UZB",3010000
"68948",2002,"ESP","UZB",4990000
"68949",2003,"ESP","UZB",4110000
"68950",2004,"ESP","UZB",1280000
"68951",2005,"ESP","UZB",80000
"68952",2006,"ESP","UZB",80000
"68953",2008,"ESP","UZB",360000
"68954",2009,"ESP","UZB",660000
"68955",2010,"ESP","UZB",230000
"68956",2011,"ESP","UZB",1630000
"68957",2013,"ESP","UZB",30000
"68958",2014,"ESP","UZB",3732.47534430145
"68959",2015,"ESP","UZB",9878.72065113699
"68960",2016,"ESP","UZB",73032.5666261196
"68961",2017,"ESP","UZB",31042.4467365573
"68962",2018,"ESP","UZB",30475.238994453
"68963",2019,"ESP","UZB",86384.9123418784
"68964",1990,"ESP","IRN",160000
"68965",1991,"ESP","IRN",910000
"68966",1993,"ESP","IRN",40000
"68967",1996,"ESP","IRN",10000
"68968",1997,"ESP","IRN",290000
"68969",1998,"ESP","IRN",110000
"68970",1999,"ESP","IRN",1e+05
"68971",2000,"ESP","IRN",140000
"68972",2001,"ESP","IRN",230000
"68973",2002,"ESP","IRN",210000
"68974",2003,"ESP","IRN",1180000
"68975",2004,"ESP","IRN",3720000
"68976",2005,"ESP","IRN",360000
"68977",2006,"ESP","IRN",12370000
"68978",2007,"ESP","IRN",6850000
"68979",2008,"ESP","IRN",690000
"68980",2009,"ESP","IRN",5220000
"68981",2010,"ESP","IRN",2e+05
"68982",2011,"ESP","IRN",3e+05
"68983",2012,"ESP","IRN",220000
"68984",2013,"ESP","IRN",960000
"68985",2014,"ESP","IRN",257200.504179382
"68986",2015,"ESP","IRN",8763.29450915142
"68987",2016,"ESP","IRN",691214.652217184
"68988",2017,"ESP","IRN",794514.448202006
"68989",2018,"ESP","IRN",728470.547857902
"68990",2019,"ESP","IRN",1281509.263955
"68991",1989,"ESP","IRQ",340000
"68992",1991,"ESP","IRQ",290000
"68993",1992,"ESP","IRQ",220000
"68994",1993,"ESP","IRQ",150000
"68995",1995,"ESP","IRQ",240000
"68996",1996,"ESP","IRQ",1250000
"68997",1997,"ESP","IRQ",5e+05
"68998",1998,"ESP","IRQ",930000
"68999",1999,"ESP","IRQ",1230000
"69000",2000,"ESP","IRQ",740000
"69001",2001,"ESP","IRQ",480000
"69002",2002,"ESP","IRQ",1330000
"69003",2003,"ESP","IRQ",22400000
"69004",2004,"ESP","IRQ",59430000
"69005",2005,"ESP","IRQ",191810000
"69006",2006,"ESP","IRQ",192170000
"69007",2007,"ESP","IRQ",33220000
"69008",2008,"ESP","IRQ",129030000
"69009",2009,"ESP","IRQ",2350000
"69010",2010,"ESP","IRQ",390000
"69011",2011,"ESP","IRQ",310000
"69012",2012,"ESP","IRQ",130000
"69013",2013,"ESP","IRQ",280000
"69014",2014,"ESP","IRQ",717130.953960462
"69015",2015,"ESP","IRQ",2299622.31835829
"69016",2016,"ESP","IRQ",3100704.67765122
"69017",2017,"ESP","IRQ",4677059.41510202
"69018",2018,"ESP","IRQ",2615135.93038121
"69019",2019,"ESP","IRQ",1235471.03414978
"69020",1989,"ESP","ISR",150000
"69021",1990,"ESP","ISR",70000
"69022",1992,"ESP","ISR",50000
"69023",1993,"ESP","ISR",50000
"69024",1994,"ESP","ISR",10000
"69025",1995,"ESP","ISR",110000
"69026",1996,"ESP","ISR",150000
"69027",1989,"ESP","JOR",190000
"69028",1990,"ESP","JOR",3460000
"69029",1991,"ESP","JOR",1990000
"69030",1992,"ESP","JOR",1200000
"69031",1993,"ESP","JOR",630000
"69032",1994,"ESP","JOR",980000
"69033",1995,"ESP","JOR",1700000
"69034",1996,"ESP","JOR",2990000
"69035",1997,"ESP","JOR",950000
"69036",1998,"ESP","JOR",1880000
"69037",1999,"ESP","JOR",5280000
"69038",2000,"ESP","JOR",1550000
"69039",2001,"ESP","JOR",16980000
"69040",2002,"ESP","JOR",4670000
"69041",2003,"ESP","JOR",22120000
"69042",2004,"ESP","JOR",3350000
"69043",2005,"ESP","JOR",3220000
"69044",2006,"ESP","JOR",14410000
"69045",2007,"ESP","JOR",10260000
"69046",2008,"ESP","JOR",12650000
"69047",2009,"ESP","JOR",10150000
"69048",2010,"ESP","JOR",9210000
"69049",2011,"ESP","JOR",7490000
"69050",2012,"ESP","JOR",4030000
"69051",2013,"ESP","JOR",7580000
"69052",2014,"ESP","JOR",690526.710910176
"69053",2015,"ESP","JOR",4528258.77043705
"69054",2016,"ESP","JOR",5674108.28264956
"69055",2017,"ESP","JOR",3249260.31450795
"69056",2018,"ESP","JOR",4313198.60317715
"69057",2019,"ESP","JOR",2614168.60032016
"69058",1991,"ESP","KWT",350000
"69059",1989,"ESP","LBN",170000
"69060",1990,"ESP","LBN",70000
"69061",1991,"ESP","LBN",160000
"69062",1992,"ESP","LBN",2e+05
"69063",1993,"ESP","LBN",6e+05
"69064",1994,"ESP","LBN",20000
"69065",1995,"ESP","LBN",2050000
"69066",1996,"ESP","LBN",2520000
"69067",1997,"ESP","LBN",1780000
"69068",1998,"ESP","LBN",1710000
"69069",1999,"ESP","LBN",2310000
"69070",2000,"ESP","LBN",2360000
"69071",2001,"ESP","LBN",2180000
"69072",2002,"ESP","LBN",2250000
"69073",2003,"ESP","LBN",2860000
"69074",2004,"ESP","LBN",3300000
"69075",2005,"ESP","LBN",2510000
"69076",2006,"ESP","LBN",15050000
"69077",2007,"ESP","LBN",37300000
"69078",2008,"ESP","LBN",51810000
"69079",2009,"ESP","LBN",24160000
"69080",2010,"ESP","LBN",23390000
"69081",2011,"ESP","LBN",24750000
"69082",2012,"ESP","LBN",14350000
"69083",2013,"ESP","LBN",10420000
"69084",2014,"ESP","LBN",9965079.22422715
"69085",2015,"ESP","LBN",12187425.4087632
"69086",2016,"ESP","LBN",11084545.3389362
"69087",2017,"ESP","LBN",10753519.5473115
"69088",2018,"ESP","LBN",12633259.4362091
"69089",2019,"ESP","LBN",11631873.3707254
"69090",2005,"ESP","OMN",10000
"69091",2010,"ESP","OMN",10000
"69092",1989,"ESP","SAU",10000
"69093",1989,"ESP","SYR",150000
"69094",1990,"ESP","SYR",20000
"69095",1991,"ESP","SYR",220000
"69096",1992,"ESP","SYR",250000
"69097",1993,"ESP","SYR",330000
"69098",1994,"ESP","SYR",150000
"69099",1995,"ESP","SYR",6e+05
"69100",1996,"ESP","SYR",390000
"69101",1997,"ESP","SYR",430000
"69102",1998,"ESP","SYR",610000
"69103",1999,"ESP","SYR",830000
"69104",2000,"ESP","SYR",690000
"69105",2001,"ESP","SYR",720000
"69106",2002,"ESP","SYR",480000
"69107",2003,"ESP","SYR",7e+05
"69108",2004,"ESP","SYR",690000
"69109",2005,"ESP","SYR",1080000
"69110",2006,"ESP","SYR",2560000
"69111",2007,"ESP","SYR",2960000
"69112",2008,"ESP","SYR",7450000
"69113",2009,"ESP","SYR",6270000
"69114",2010,"ESP","SYR",6080000
"69115",2011,"ESP","SYR",3810000
"69116",2012,"ESP","SYR",9310000
"69117",2013,"ESP","SYR",11380000
"69118",2014,"ESP","SYR",12035051.8238689
"69119",2015,"ESP","SYR",6435451.77592901
"69120",2016,"ESP","SYR",41300030.1636625
"69121",2017,"ESP","SYR",62029311.1801601
"69122",2018,"ESP","SYR",35966584.2293166
"69123",2019,"ESP","SYR",30672125.4505765
"69124",1993,"ESP","PSE",2400000
"69125",1994,"ESP","PSE",12390000
"69126",1995,"ESP","PSE",28260000
"69127",1996,"ESP","PSE",17130000
"69128",1997,"ESP","PSE",21490000
"69129",1998,"ESP","PSE",41740000
"69130",1999,"ESP","PSE",17400000
"69131",2000,"ESP","PSE",12900000
"69132",2001,"ESP","PSE",10080000
"69133",2002,"ESP","PSE",11270000
"69134",2003,"ESP","PSE",14150000
"69135",2004,"ESP","PSE",23820000
"69136",2005,"ESP","PSE",39350000
"69137",2006,"ESP","PSE",39980000
"69138",2007,"ESP","PSE",72710000
"69139",2008,"ESP","PSE",103180000
"69140",2009,"ESP","PSE",99400000
"69141",2010,"ESP","PSE",97590000
"69142",2011,"ESP","PSE",63120000
"69143",2012,"ESP","PSE",23020000
"69144",2013,"ESP","PSE",16880000
"69145",2014,"ESP","PSE",20717940.7125514
"69146",2015,"ESP","PSE",16751065.6138946
"69147",2016,"ESP","PSE",18752616.5874157
"69148",2017,"ESP","PSE",25103083.3227641
"69149",2018,"ESP","PSE",30438563.8769668
"69150",2019,"ESP","PSE",32805572.7446424
"69151",1994,"ESP","YEM",70000
"69152",1995,"ESP","YEM",90000
"69153",1996,"ESP","YEM",90000
"69154",2000,"ESP","YEM",2140000
"69155",2001,"ESP","YEM",4150000
"69156",2002,"ESP","YEM",4530000
"69157",2003,"ESP","YEM",8600000
"69158",2004,"ESP","YEM",2630000
"69159",2005,"ESP","YEM",120000
"69160",2007,"ESP","YEM",150000
"69161",2008,"ESP","YEM",1890000
"69162",2009,"ESP","YEM",3860000
"69163",2010,"ESP","YEM",1540000
"69164",2011,"ESP","YEM",3190000
"69165",2013,"ESP","YEM",70000
"69166",2016,"ESP","YEM",1006510.1514984
"69167",2017,"ESP","YEM",3637798.99457784
"69168",2018,"ESP","YEM",6207686.84350289
"69169",2019,"ESP","YEM",5676615.08933169
"69170",1995,"ESP","BLR",250000
"69171",1996,"ESP","BLR",250000
"69172",1999,"ESP","BLR",50000
"69173",2000,"ESP","BLR",30000
"69174",2002,"ESP","BLR",20000
"69175",2003,"ESP","BLR",30000
"69176",2004,"ESP","BLR",30000
"69177",1997,"ESP","CYP",20000
"69178",1999,"ESP","CYP",20000
"69179",2000,"ESP","CYP",20000
"69180",2001,"ESP","CYP",30000
"69181",2002,"ESP","CYP",30000
"69182",2003,"ESP","CYP",10000
"69183",2004,"ESP","CYP",80000
"69184",2004,"ESP","MLT",50000
"69185",1996,"ESP","MDA",10000
"69186",2003,"ESP","SVN",1e+05
"69187",2004,"ESP","SVN",210000
"69188",1995,"ESP","UKR",110000
"69189",1996,"ESP","UKR",80000
"69190",1997,"ESP","UKR",2e+05
"69191",1998,"ESP","UKR",830000
"69192",1999,"ESP","UKR",250000
"69193",2000,"ESP","UKR",740000
"69194",2001,"ESP","UKR",1050000
"69195",2002,"ESP","UKR",950000
"69196",2003,"ESP","UKR",820000
"69197",2004,"ESP","UKR",230000
"69198",2000,"ESP","LBY",70000
"69199",2001,"ESP","LBY",60000
"69200",2003,"ESP","LBY",60000
"69201",1997,"ESP","ISR",20000
"69202",1998,"ESP","ISR",40000
"69203",1999,"ESP","ISR",720000
"69204",2000,"ESP","ISR",810000
"69205",2001,"ESP","ISR",70000
"69206",2002,"ESP","ISR",880000
"69207",2003,"ESP","ISR",860000
"69208",2004,"ESP","ISR",870000
"69209",2003,"ESP","KWT",10000
"69210",2004,"ESP","KWT",20000
"69211",2001,"ESP","ARE",10000
"69212",2002,"ESP","ARE",10000
"69213",2003,"ESP","ARE",10000
"69214",2004,"ESP","ARE",30000
"69215",1991,"SWE","ALB",250000
"69216",1992,"SWE","ALB",4010000
"69217",1993,"SWE","ALB",1650000
"69218",1994,"SWE","ALB",190000
"69219",1995,"SWE","ALB",3e+05
"69220",1996,"SWE","ALB",440000
"69221",1997,"SWE","ALB",990000
"69222",1998,"SWE","ALB",1100000
"69223",1999,"SWE","ALB",5330000
"69224",2000,"SWE","ALB",4e+05
"69225",2001,"SWE","ALB",3800000
"69226",2002,"SWE","ALB",3950000
"69227",2003,"SWE","ALB",5410000
"69228",2004,"SWE","ALB",5710000
"69229",2005,"SWE","ALB",8590000
"69230",2006,"SWE","ALB",12540000
"69231",2007,"SWE","ALB",11940000
"69232",2008,"SWE","ALB",11270000
"69233",2009,"SWE","ALB",10390000
"69234",2010,"SWE","ALB",10900000
"69235",2011,"SWE","ALB",13250000
"69236",2012,"SWE","ALB",12150000
"69237",2013,"SWE","ALB",11680266.228582
"69238",2014,"SWE","ALB",12376873.1176839
"69239",2015,"SWE","ALB",9470574.42492259
