"","Year","Sender","Receiver","LOR"
"292",1960,"VEN","BRA",1
"293",1960,"YUG","BRA",0.5
"294",1960,"ALB","BGR",1
"295",1960,"ARG","BGR",1
"296",1960,"AUT","BGR",0.75
"297",1960,"BEL","BGR",0.75
"298",1960,"CSK","BGR",1
"299",1960,"EGY","BGR",1
"300",1960,"FRA","BGR",0.75
"301",1960,"DDR","BGR",1
"302",1960,"GRC","BGR",0.75
"303",1960,"HUN","BGR",1
"304",1960,"ISR","BGR",0.75
"305",1960,"ITA","BGR",0.75
"306",1960,"PRK","BGR",1
"307",1960,"POL","BGR",1
"308",1960,"ROU","BGR",1
"309",1960,"RUS","BGR",1
"310",1960,"CHE","BGR",0.75
"311",1960,"TUR","BGR",0.75
"312",1960,"GBR","BGR",0.75
"313",1960,"YUG","BGR",1
"314",1960,"AUS","KHM",1
"315",1960,"CSK","KHM",0.75
"316",1960,"EGY","KHM",1
"317",1960,"FRA","KHM",1
"318",1960,"IND","KHM",1
"319",1960,"JPN","KHM",1
"320",1960,"RUS","KHM",1
"321",1960,"THA","KHM",1
"322",1960,"GBR","KHM",1
"323",1960,"USA","KHM",1
"324",1960,"DEU","CMR",1
"325",1960,"GBR","CMR",1
"326",1960,"ARG","CAN",1
"327",1960,"AUS","CAN",1
"328",1960,"AUT","CAN",1
"329",1960,"BEL","CAN",1
"330",1960,"BRA","CAN",1
"331",1960,"CHL","CAN",1
"332",1960,"COL","CAN",1
"333",1960,"CUB","CAN",1
"334",1960,"CSK","CAN",0.75
"335",1960,"DNK","CAN",1
"336",1960,"DOM","CAN",1
"337",1960,"EGY","CAN",1
"338",1960,"FIN","CAN",0.75
"339",1960,"FRA","CAN",1
"340",1960,"DEU","CAN",1
"341",1960,"GRC","CAN",1
"342",1960,"HTI","CAN",1
"343",1960,"IND","CAN",1
"344",1960,"IDN","CAN",1
"345",1960,"IRN","CAN",1
"346",1960,"IRL","CAN",1
"347",1960,"ISR","CAN",1
"348",1960,"ITA","CAN",1
"349",1960,"JPN","CAN",1
"350",1960,"LBN","CAN",0.75
"351",1960,"MEX","CAN",1
"352",1960,"NLD","CAN",1
"353",1960,"NZL","CAN",1
"354",1960,"NOR","CAN",0.75
"355",1960,"PAK","CAN",1
"356",1960,"PER","CAN",1
"357",1960,"POL","CAN",0.75
"358",1960,"PRT","CAN",1
"359",1960,"RUS","CAN",1
"360",1960,"ZAF","CAN",1
"361",1960,"ESP","CAN",1
"362",1960,"LKA","CAN",1
"363",1960,"SWE","CAN",1
"364",1960,"CHE","CAN",1
"365",1960,"TWN","CAN",1
"366",1960,"TUN","CAN",1
"367",1960,"TUR","CAN",1
"368",1960,"USA","CAN",1
"369",1960,"URY","CAN",1
"370",1960,"VEN","CAN",1
"371",1960,"YUG","CAN",1
"372",1960,"ARG","CHL",1
"373",1960,"AUT","CHL",0.5
"374",1960,"BEL","CHL",1
"375",1960,"BOL","CHL",1
"376",1960,"BRA","CHL",1
"377",1960,"CAN","CHL",1
"378",1960,"COL","CHL",1
"379",1960,"CRI","CHL",1
"380",1960,"CUB","CHL",1
"381",1960,"DOM","CHL",1
"382",1960,"ECU","CHL",0.75
"383",1960,"EGY","CHL",1
"384",1960,"SLV","CHL",0.75
"385",1960,"FRA","CHL",1
"386",1960,"DEU","CHL",1
"387",1960,"HTI","CHL",1
"388",1960,"VAT","CHL",1
"389",1960,"HND","CHL",1
"390",1960,"IND","CHL",1
"391",1960,"ISR","CHL",1
"392",1960,"ITA","CHL",1
"393",1960,"JPN","CHL",1
"394",1960,"JOR","CHL",0.75
"395",1960,"LBN","CHL",1
"396",1960,"MEX","CHL",1
"397",1960,"NLD","CHL",1
"398",1960,"NOR","CHL",0.5
"399",1960,"PAN","CHL",1
"400",1960,"PRY","CHL",1
"401",1960,"PER","CHL",1
"402",1960,"PRT","CHL",0.75
"403",1960,"ESP","CHL",1
"404",1960,"SWE","CHL",0.5
"405",1960,"CHE","CHL",1
"406",1960,"TWN","CHL",0.75
"407",1960,"TUR","CHL",0.5
"408",1960,"GBR","CHL",1
"409",1960,"USA","CHL",1
"410",1960,"URY","CHL",0.75
"411",1960,"VEN","CHL",1
"412",1960,"YUG","CHL",0.375
"413",1960,"AFG","CHN",1
"414",1960,"ALB","CHN",1
"415",1960,"BRA","CHN",1
"416",1960,"BGR","CHN",0.75
"417",1960,"CSK","CHN",1
"418",1960,"DNK","CHN",1
"419",1960,"EGY","CHN",1
"420",1960,"FIN","CHN",1
"421",1960,"DDR","CHN",1
"422",1960,"HUN","CHN",0.5
"423",1960,"IND","CHN",1
"424",1960,"IDN","CHN",1
"425",1960,"IRQ","CHN",1
"426",1960,"JPN","CHN",1
"427",1960,"JOR","CHN",1
"428",1960,"PRK","CHN",1
"429",1960,"MNG","CHN",0.375
"430",1960,"MAR","CHN",0.75
"431",1960,"MMR","CHN",1
"432",1960,"NLD","CHN",0.75
"433",1960,"NOR","CHN",1
"434",1960,"PAK","CHN",1
"435",1960,"POL","CHN",1
"436",1960,"ROU","CHN",0.5
"437",1960,"RUS","CHN",1
"438",1960,"LKA","CHN",1
"439",1960,"SWE","CHN",1
"440",1960,"CHE","CHN",1
"441",1960,"GBR","CHN",0.75
"442",1960,"YUG","CHN",1
"443",1960,"VNM","CHN",0.75
"444",1960,"ARG","COL",1
"445",1960,"AUT","COL",0.375
"446",1960,"BEL","COL",0.5
"447",1960,"BOL","COL",0.75
"448",1960,"BRA","COL",1
"449",1960,"CAN","COL",1
"450",1960,"CHL","COL",1
"451",1960,"CSK","COL",0.75
"452",1960,"DOM","COL",1
"453",1960,"ECU","COL",0.75
"454",1960,"SLV","COL",1
"455",1960,"FRA","COL",1
"456",1960,"DEU","COL",1
"457",1960,"GTM","COL",0.75
"458",1960,"VAT","COL",1
"459",1960,"ITA","COL",1
"460",1960,"JPN","COL",1
"461",1960,"LBN","COL",0.75
"462",1960,"MEX","COL",1
"463",1960,"NLD","COL",1
"464",1960,"NIC","COL",1
"465",1960,"NOR","COL",0.375
"466",1960,"PAN","COL",1
"467",1960,"PRY","COL",1
"468",1960,"PER","COL",1
"469",1960,"ESP","COL",1
"470",1960,"SWE","COL",0.5
"471",1960,"CHE","COL",0.5
"472",1960,"TWN","COL",0.75
"473",1960,"GBR","COL",1
"474",1960,"USA","COL",1
"475",1960,"URY","COL",1
"476",1960,"VEN","COL",0.75
"477",1960,"ARG","CRI",1
"478",1960,"BEL","CRI",0.75
"479",1960,"BRA","CRI",1
"480",1960,"CHL","CRI",1
"481",1960,"COL","CRI",1
"482",1960,"ECU","CRI",1
"483",1960,"SLV","CRI",1
"484",1960,"FRA","CRI",1
"485",1960,"GTM","CRI",1
"486",1960,"VAT","CRI",1
"487",1960,"HND","CRI",1
"488",1960,"ITA","CRI",0.75
"489",1960,"MEX","CRI",1
"490",1960,"NLD","CRI",0.375
"491",1960,"NIC","CRI",1
"492",1960,"PAN","CRI",1
"493",1960,"PER","CRI",1
"494",1960,"ESP","CRI",1
"495",1960,"TWN","CRI",1
"496",1960,"GBR","CRI",1
"497",1960,"USA","CRI",1
"498",1960,"URY","CRI",1
"499",1960,"VEN","CRI",1
"500",1960,"ARG","CUB",1
"501",1960,"BEL","CUB",0.5
"502",1960,"BRA","CUB",1
"503",1960,"CAN","CUB",1
"504",1960,"CHL","CUB",1
"505",1960,"COL","CUB",1
"506",1960,"CRI","CUB",0.75
"507",1960,"SLV","CUB",1
"508",1960,"FRA","CUB",1
"509",1960,"DEU","CUB",1
"510",1960,"GTM","CUB",1
"511",1960,"VAT","CUB",1
"512",1960,"HND","CUB",0.75
"513",1960,"ITA","CUB",1
"514",1960,"JPN","CUB",1
"515",1960,"NLD","CUB",0.5
"516",1960,"NIC","CUB",0.75
"517",1960,"NOR","CUB",0.375
"518",1960,"PAN","CUB",1
"519",1960,"PRY","CUB",0.375
"520",1960,"PER","CUB",1
"521",1960,"PRT","CUB",0.75
"522",1960,"SAU","CUB",0.75
"523",1960,"ESP","CUB",1
"524",1960,"CHE","CUB",0.5
"525",1960,"TWN","CUB",1
"526",1960,"GBR","CUB",1
"527",1960,"USA","CUB",1
"528",1960,"URY","CUB",0.75
"529",1960,"VEN","CUB",1
"530",1960,"AFG","CSK",0.375
"531",1960,"ALB","CSK",0.5
"532",1960,"ARG","CSK",1
"533",1960,"AUT","CSK",0.75
"534",1960,"BEL","CSK",1
"535",1960,"BRA","CSK",1
"536",1960,"BGR","CSK",1
"537",1960,"KHM","CSK",1
"538",1960,"CAN","CSK",0.75
"539",1960,"DNK","CSK",0.5
"540",1960,"EGY","CSK",1
"541",1960,"FIN","CSK",0.5
"542",1960,"FRA","CSK",1
"543",1960,"DDR","CSK",1
"544",1960,"GRC","CSK",0.75
"545",1960,"VAT","CSK",1
"546",1960,"HUN","CSK",1
"547",1960,"IND","CSK",1
"548",1960,"IDN","CSK",1
"549",1960,"IRN","CSK",1
"550",1960,"IRQ","CSK",1
"551",1960,"ISR","CSK",1
"552",1960,"ITA","CSK",0.75
"553",1960,"JPN","CSK",1
"554",1960,"PRK","CSK",1
"555",1960,"LBN","CSK",0.75
"556",1960,"MEX","CSK",1
"557",1960,"MNG","CSK",0.375
"558",1960,"NLD","CSK",0.75
"559",1960,"POL","CSK",1
"560",1960,"ROU","CSK",1
"561",1960,"RUS","CSK",1
"562",1960,"SWE","CSK",0.375
"563",1960,"CHE","CSK",0.75
"564",1960,"TUR","CSK",0.75
"565",1960,"GBR","CSK",1
"566",1960,"USA","CSK",1
"567",1960,"URY","CSK",1
"568",1960,"YUG","CSK",1
"569",1960,"ARG","DNK",1
"570",1960,"AUT","DNK",0.75
"571",1960,"BEL","DNK",1
"572",1960,"BRA","DNK",1
"573",1960,"CAN","DNK",1
"574",1960,"CHL","DNK",1
"575",1960,"COL","DNK",0.75
"576",1960,"CSK","DNK",0.75
"577",1960,"ECU","DNK",0.75
"578",1960,"EGY","DNK",1
"579",1960,"FIN","DNK",1
"580",1960,"FRA","DNK",1
"581",1960,"DEU","DNK",1
"582",1960,"HUN","DNK",0.75
"583",1960,"ISL","DNK",0.5
"584",1960,"IRN","DNK",1
"585",1960,"ISR","DNK",1
"586",1960,"ITA","DNK",1
"587",1960,"JPN","DNK",1
"588",1960,"MEX","DNK",0.75
"589",1960,"NLD","DNK",1
"590",1960,"NOR","DNK",1
"591",1960,"PAN","DNK",0.75
"592",1960,"PER","DNK",0.375
"593",1960,"POL","DNK",1
"594",1960,"PRT","DNK",1
"595",1960,"ROU","DNK",0.75
"596",1960,"RUS","DNK",1
"597",1960,"ESP","DNK",1
"598",1960,"SWE","DNK",1
"599",1960,"CHE","DNK",1
"600",1960,"THA","DNK",1
"601",1960,"TUR","DNK",1
"602",1960,"GBR","DNK",1
"603",1960,"USA","DNK",1
"604",1960,"VEN","DNK",0.75
"605",1960,"YUG","DNK",0.75
"606",1960,"ARG","DOM",1
"607",1960,"BRA","DOM",1
"608",1960,"CHL","DOM",1
"609",1960,"COL","DOM",1
"610",1960,"CRI","DOM",1
"611",1960,"ECU","DOM",0.75
"612",1960,"SLV","DOM",1
"613",1960,"FRA","DOM",1
"614",1960,"DEU","DOM",1
"615",1960,"GTM","DOM",1
"616",1960,"HTI","DOM",1
"617",1960,"VAT","DOM",1
"618",1960,"ITA","DOM",1
"619",1960,"JPN","DOM",1
"620",1960,"MEX","DOM",1
"621",1960,"NIC","DOM",1
"622",1960,"PAN","DOM",1
"623",1960,"PER","DOM",1
"624",1960,"ESP","DOM",1
"625",1960,"TWN","DOM",1
"626",1960,"GBR","DOM",1
"627",1960,"USA","DOM",1
"628",1960,"ARG","ECU",1
"629",1960,"BOL","ECU",1
"630",1960,"BRA","ECU",1
"631",1960,"CHL","ECU",1
"632",1960,"COL","ECU",1
"633",1960,"CSK","ECU",0.75
"634",1960,"DOM","ECU",1
"635",1960,"SLV","ECU",0.75
"636",1960,"FRA","ECU",1
"637",1960,"DEU","ECU",1
"638",1960,"GTM","ECU",0.75
"639",1960,"VAT","ECU",1
"640",1960,"HND","ECU",0.75
"641",1960,"ITA","ECU",1
"642",1960,"MEX","ECU",1
"643",1960,"NLD","ECU",0.75
"644",1960,"NIC","ECU",1
"645",1960,"PAN","ECU",1
"646",1960,"PRY","ECU",0.75
"647",1960,"PER","ECU",1
"648",1960,"ESP","ECU",1
"649",1960,"SWE","ECU",1
"650",1960,"TWN","ECU",1
"651",1960,"GBR","ECU",1
"652",1960,"USA","ECU",1
"653",1960,"URY","ECU",0.75
"654",1960,"VEN","ECU",1
"655",1960,"AFG","EGY",1
"656",1960,"ALB","EGY",1
"657",1960,"ARG","EGY",1
"658",1960,"AUS","EGY",1
"659",1960,"AUT","EGY",0.5
"660",1960,"BEL","EGY",1
"661",1960,"BRA","EGY",1
"662",1960,"BGR","EGY",1
"663",1960,"CAN","EGY",1
"664",1960,"CHL","EGY",0.75
"665",1960,"COL","EGY",1
"666",1960,"CUB","EGY",0.75
"667",1960,"CSK","EGY",1
"668",1960,"DNK","EGY",0.5
"669",1960,"ETH","EGY",1
"670",1960,"FIN","EGY",0.5
"671",1960,"FRA","EGY",0
"672",1960,"DDR","EGY",1
"673",1960,"DEU","EGY",1
"674",1960,"GHA","EGY",1
"675",1960,"GRC","EGY",1
"676",1960,"VAT","EGY",1
"677",1960,"HUN","EGY",0.5
"678",1960,"IND","EGY",1
"679",1960,"IDN","EGY",1
"680",1960,"IRN","EGY",1
"681",1960,"IRQ","EGY",1
"682",1960,"ITA","EGY",1
"683",1960,"JPN","EGY",1
"684",1960,"JOR","EGY",1
"685",1960,"LBN","EGY",0.75
"686",1960,"MEX","EGY",1
"687",1960,"MAR","EGY",1
"688",1960,"MMR","EGY",1
"689",1960,"NPL","EGY",1
"690",1960,"NLD","EGY",0.5
"691",1960,"NOR","EGY",0.5
"692",1960,"PAK","EGY",1
"693",1960,"PAN","EGY",1
"694",1960,"PHL","EGY",0.375
"695",1960,"POL","EGY",0.5
"696",1960,"PRT","EGY",1
"697",1960,"ROU","EGY",0.5
"698",1960,"RUS","EGY",1
"699",1960,"SAU","EGY",0.75
"700",1960,"ZAF","EGY",1
"701",1960,"ESP","EGY",1
"702",1960,"LKA","EGY",1
"703",1960,"SDN","EGY",1
"704",1960,"SWE","EGY",0.5
"705",1960,"CHE","EGY",0.5
"706",1960,"TUR","EGY",1
"707",1960,"GBR","EGY",0.75
"708",1960,"USA","EGY",1
"709",1960,"URY","EGY",1
"710",1960,"VEN","EGY",1
"711",1960,"YUG","EGY",1
"712",1960,"YEM","EGY",0.75
"713",1960,"ARG","SLV",1
"714",1960,"BRA","SLV",1
"715",1960,"CHL","SLV",1
"716",1960,"COL","SLV",1
"717",1960,"CRI","SLV",1
"718",1960,"CUB","SLV",1
"719",1960,"DOM","SLV",1
"720",1960,"ECU","SLV",0.75
"721",1960,"FRA","SLV",1
"722",1960,"DEU","SLV",1
"723",1960,"GTM","SLV",1
"724",1960,"HND","SLV",1
"725",1960,"ITA","SLV",1
"726",1960,"JPN","SLV",0.75
"727",1960,"MEX","SLV",1
"728",1960,"NIC","SLV",1
"729",1960,"PAN","SLV",1
"730",1960,"PER","SLV",1
"731",1960,"ESP","SLV",1
"732",1960,"TWN","SLV",0.75
"733",1960,"GBR","SLV",1
"734",1960,"USA","SLV",1
"735",1960,"URY","SLV",0.75
"736",1960,"VEN","SLV",1
"737",1960,"BEL","ETH",0.75
"738",1960,"BGR","ETH",0.75
"739",1960,"CSK","ETH",1
"740",1960,"EGY","ETH",1
"741",1960,"FRA","ETH",1
"742",1960,"DEU","ETH",1
"743",1960,"GHA","ETH",1
"744",1960,"GRC","ETH",0.75
"745",1960,"VAT","ETH",1
"746",1960,"HUN","ETH",0.75
"747",1960,"IND","ETH",1
"748",1960,"ITA","ETH",1
"749",1960,"JPN","ETH",1
"750",1960,"LBR","ETH",1
"751",1960,"NLD","ETH",0.75
"752",1960,"PAK","ETH",1
"753",1960,"PRT","ETH",0.75
"754",1960,"RUS","ETH",1
"755",1960,"SAU","ETH",0.75
"756",1960,"ESP","ETH",0.75
"757",1960,"SDN","ETH",1
"758",1960,"SWE","ETH",0.375
"759",1960,"TUR","ETH",1
"760",1960,"GBR","ETH",1
"761",1960,"USA","ETH",1
"762",1960,"VEN","ETH",0.75
"763",1960,"YUG","ETH",0.75
"764",1960,"ARG","FIN",1
"765",1960,"AUT","FIN",0.75
"766",1960,"BEL","FIN",1
"767",1960,"BRA","FIN",1
"768",1960,"BGR","FIN",0.75
"769",1960,"CHL","FIN",0.75
"770",1960,"CSK","FIN",1
"771",1960,"DNK","FIN",1
"772",1960,"EGY","FIN",1
"773",1960,"FRA","FIN",1
"774",1960,"HUN","FIN",0.75
"775",1960,"ISR","FIN",1
"776",1960,"ITA","FIN",1
"777",1960,"JPN","FIN",0.75
"778",1960,"NLD","FIN",1
"779",1960,"NOR","FIN",1
"780",1960,"POL","FIN",1
"781",1960,"ROU","FIN",0.75
"782",1960,"RUS","FIN",1
"783",1960,"ZAF","FIN",1
"784",1960,"ESP","FIN",1
"785",1960,"SWE","FIN",1
"786",1960,"CHE","FIN",1
"787",1960,"TUR","FIN",1
"788",1960,"GBR","FIN",1
"789",1960,"USA","FIN",1
